"Year","Age","Female","Male","Total","FemalePost","MalePost","Fem1","Mal1"
1966,"3",0.000714,0.000825,0.000771,105.445388459366,103.59266390999,105.445388459366,103.59266390999
1967,"3",0.000735,0.000793,0.000765,105.528558967662,103.606326336334,105.528558967662,103.606326336334
1968,"3",0.000687,0.000912,0.000803,105.515205732094,103.799365695816,105.515205732094,103.799365695816
1969,"3",0.000653,0.000789,0.000723,105.518631540571,103.707714617631,105.518631540571,103.707714617631
1970,"3",0.000675,0.000735,0.000706,105.60595007359,103.690041387042,105.60595007359,103.690041387042
1971,"3",0.000579,0.000708,0.000645,105.506722831713,103.705837572566,105.506722831713,103.705837572566
1972,"3",0.000513,0.000668,0.000593,105.439879170733,103.700904243452,105.439879170733,103.700904243452
1973,"3",0.000576,0.000639,0.000609,105.609893957681,103.709743115336,105.609893957681,103.709743115336
1974,"3",0.000453,0.000527,0.000491,105.423861393891,103.570261800543,105.423861393891,103.570261800543
1975,"3",0.000407,0.000556,0.000483,105.370965425273,103.677052137296,105.370965425273,103.677052137296
1976,"3",0.000393,0.000498,0.000447,105.390144823122,103.620106511113,105.390144823122,103.620106511113
1977,"3",0.000373,0.000494,0.000435,105.392096602319,103.66526454232,105.392096602319,103.66526454232
1978,"3",0.000396,0.000467,0.000432,105.506115365352,103.662280873844,105.506115365352,103.662280873844
1979,"3",0.00032,0.000433,0.000378,105.347205121314,103.639911935221,105.347205121314,103.639911935221
1980,"3",0.000435,0.00043,0.000432,105.708413128032,103.686182006949,105.708413128032,103.686182006949
1981,"3",0.000337,0.000398,0.000368,105.507332998718,103.66207139459,105.507332998718,103.66207139459
1982,"3",0.000319,0.000336,0.000328,105.506624142573,103.545953140312,105.506624142573,103.545953140312
1983,"3",0.000339,0.000388,0.000364,105.621616118591,103.743069911015,105.621616118591,103.743069911015
1984,"3",0.000304,0.000349,0.000327,105.56682668404,103.690359084637,105.56682668404,103.690359084637
1985,"3",3e-04,0.000321,0.000311,105.607764428712,103.659950876608,105.607764428712,103.659950876608
1986,"3",0.000219,0.000272,0.000246,105.347236655295,103.547534410818,105.347236655295,103.547534410818
